id,shannon,evenness,site,treatment,year,CHELSA_bio10_01,prec,hli,soil_Ph,soil_Ph2,soil_ZZ,soil_P,soil_TN,soil_susina,soil_Ca,soil_K,soil_Mg,PC1,PC2,PC3,temp,cala_cover,cala_cover_rel
BAR_2_2015,1.3739120086173673,0.4849306570928343,BAR,2,1,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.55,1.5109890109890112
BAR_2_2016,1.2308310478882394,0.42583831803841493,BAR,2,2,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.45,2.7607361963190185
BAR_2_2017,1.3995548835324207,0.5047827224810385,BAR,2,3,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.4,1.9801980198019802
BAR_3_2014,0.9285152815933917,0.3428722559188432,BAR,3,0,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.65,3.6111111111111107
BAR_3_2015,1.5187656992418304,0.5158081760185729,BAR,3,1,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.5,1.2755102040816326
BAR_3_2016,1.7988234522443114,0.5819471842872779,BAR,3,2,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.55,0.7925072046109511
BAR_3_2017,1.7858071798493103,0.6065016773941995,BAR,3,3,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.55,0.6731946144430846
BAR_4_2014,0.7826357269592965,0.2822761705266765,BAR,4,0,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.78,5.270270270270271
BAR_4_2015,2.2955863123518294,0.7796345343185551,BAR,4,1,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.08,0.5063291139240507
BAR_4_2016,2.49740342163742,0.8202939780285812,BAR,4,2,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.1,0.19607843137254902
BAR_4_2017,2.582542990473108,0.7926539193468429,BAR,4,3,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,5.4,0.08,0.15873015873015872
CER_1_2013,2.638305576773684,0.6890970721867653,CER,1,0,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.3,0.29354207436399216
CER_1_2014,2.8006472943784932,0.759213557725541,CER,1,1,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.15,0.1736111111111111
CER_1_2015,2.5106289491837495,0.7006043479333209,CER,1,2,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.35,0.7322175732217573
CER_1_2016,2.40665253899013,0.6359756703044005,CER,1,3,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.5,0.8223684210526316
CER_2_2013,2.7417306768744303,0.7202452763391315,CER,2,0,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.2,0.18726591760299627
CER_2_2014,2.4977924873979114,0.6970222650683233,CER,2,1,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.05,0.05617977528089888
CER_2_2015,2.5042071139049087,0.7515166329851826,CER,2,2,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.07,0.08860759493670886
CER_2_2016,2.7082590067102004,0.7341684759283413,CER,2,3,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.15,0.14910536779324055
CER_3_2013,2.417811513121592,0.6800491741752894,CER,3,0,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.15,0.12787723785166238
CER_3_2014,2.3548669033334715,0.6993347250226395,CER,3,1,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.06,0.06984866123399301
CER_3_2015,2.5856105240751575,0.7845080412641277,CER,3,2,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.07,0.08860759493670886
CER_3_2016,2.7090375711213297,0.7559713280846972,CER,3,3,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.15,0.1838235294117647
CER_4_2013,2.6216163777376478,0.7059554333798777,CER,4,0,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,8.8,0.15,0.1453488372093023
