Releve number,Background_plots,site,treatment,value,year,redlisted,PC1,PC2,PC3
283,282411,CER,2,0.5167729273243616,1,9,0.299917980789904,2.09418671224462,-1.02197707144694
290,282411,CER,2,0.5604131833741427,2,9,0.299917980789904,2.09418671224462,-1.02197707144694
284,282411,CER,2,0.5198401209094425,3,9,0.299917980789904,2.09418671224462,-1.02197707144694
291,282411,CER,3,0.5665364040018542,0,9,0.299917980789904,2.09418671224462,-1.02197707144694
285,282411,CER,3,0.6035945495466278,1,9,0.299917980789904,2.09418671224462,-1.02197707144694
286,282411,CER,3,0.5808622805216886,2,9,0.299917980789904,2.09418671224462,-1.02197707144694
292,282411,CER,3,0.5383706571414082,3,9,0.299917980789904,2.09418671224462,-1.02197707144694
278,282411,CER,4,0.6040347553037908,0,9,0.299917980789904,2.09418671224462,-1.02197707144694
279,282411,CER,4,0.5824360343731951,1,9,0.299917980789904,2.09418671224462,-1.02197707144694
280,282411,CER,4,0.6045631367141644,2,9,0.299917980789904,2.09418671224462,-1.02197707144694
281,282411,CER,4,0.590163779570078,3,9,0.299917980789904,2.09418671224462,-1.02197707144694
49,114112,CVI,0,0.9254430811168225,0,1,-0.240507666590561,-0.203118405976181,0.677322316245555
67,545515,CVI,0,0.9228585575006133,1,3,-0.240507666590561,-0.203118405976181,0.677322316245555
82,545515,CVI,0,0.8799439725253415,2,3,-0.240507666590561,-0.203118405976181,0.677322316245555
97,120372,CVI,0,0.8773027734127351,3,2,-0.240507666590561,-0.203118405976181,0.677322316245555
50,426170,CVI,1,0.7815777256452004,0,5,-0.240507666590561,-0.203118405976181,0.677322316245555
68,426170,CVI,1,0.7731764615395296,1,5,-0.240507666590561,-0.203118405976181,0.677322316245555
83,426170,CVI,1,0.7174578046577479,2,5,-0.240507666590561,-0.203118405976181,0.677322316245555
98,114112,CVI,1,0.687409364683429,3,1,-0.240507666590561,-0.203118405976181,0.677322316245555
51,114112,CVI,2,0.8552456582252259,0,1,-0.240507666590561,-0.203118405976181,0.677322316245555
69,114112,CVI,2,0.7934502906886803,1,1,-0.240507666590561,-0.203118405976181,0.677322316245555
18,114112,CVI,2,0.6914519684705301,2,1,-0.240507666590561,-0.203118405976181,0.677322316245555
99,114112,CVI,2,0.670575871298284,3,1,-0.240507666590561,-0.203118405976181,0.677322316245555
52,114112,CVI,3,0.8446184487898803,0,1,-0.240507666590561,-0.203118405976181,0.677322316245555
70,426170,CVI,3,0.8123633849443667,1,5,-0.240507666590561,-0.203118405976181,0.677322316245555
84,426170,CVI,3,0.7735554348043931,2,5,-0.240507666590561,-0.203118405976181,0.677322316245555
100,426170,CVI,3,0.7701747717772187,3,5,-0.240507666590561,-0.203118405976181,0.677322316245555
53,426170,CVI,4,0.7696850493335187,0,5,-0.240507666590561,-0.203118405976181,0.677322316245555
71,426170,CVI,4,0.7726861068310428,1,5,-0.240507666590561,-0.203118405976181,0.677322316245555
85,426170,CVI,4,0.7044375705021994,2,5,-0.240507666590561,-0.203118405976181,0.677322316245555
101,426170,CVI,4,0.70485231877035,3,5,-0.240507666590561,-0.203118405976181,0.677322316245555
391,423753,DUC,0,0.6855759202918834,0,1,0.732449110907632,-1.47982560997619,0.494020012417847
398,282121,DUC,0,0.7054511836600639,1,1,0.732449110907632,-1.47982560997619,0.494020012417847
405,282420,DUC,0,0.7099543656193896,2,0,0.732449110907632,-1.47982560997619,0.494020012417847
392,282420,DUC,1,0.6411529618732579,0,0,0.732449110907632,-1.47982560997619,0.494020012417847
399,282121,DUC,1,0.634648735449161,1,1,0.732449110907632,-1.47982560997619,0.494020012417847
406,282121,DUC,1,0.625322415402809,2,1,0.732449110907632,-1.47982560997619,0.494020012417847
393,282121,DUC,2,0.6106028596334376,0,1,0.732449110907632,-1.47982560997619,0.494020012417847
400,282121,DUC,2,0.637887718702169,1,1,0.732449110907632,-1.47982560997619,0.494020012417847
407,458830,DUC,2,0.5724591931259941,2,1,0.732449110907632,-1.47982560997619,0.494020012417847
394,282121,DUC,3,0.6047279777237321,0,1,0.732449110907632,-1.47982560997619,0.494020012417847
401,458830,DUC,3,0.667261841951626,1,1,0.732449110907632,-1.47982560997619,0.494020012417847
408,458830,DUC,3,0.5785366354119483,2,1,0.732449110907632,-1.47982560997619,0.494020012417847
395,282420,DUC,4,0.6809512783835127,0,0,0.732449110907632,-1.47982560997619,0.494020012417847
402,184111,DUC,4,0.6347944563121284,1,1,0.732449110907632,-1.47982560997619,0.494020012417847
409,458830,DUC,4,0.6103015303963168,2,1,0.732449110907632,-1.47982560997619,0.494020012417847
396,423753,DUC,3,0.6738849153880272,0,1,0.732449110907632,-1.47982560997619,0.494020012417847
403,184111,DUC,3,0.6371701235048671,1,1,0.732449110907632,-1.47982560997619,0.494020012417847
410,184111,DUC,3,0.6269087985562203,2,1,0.732449110907632,-1.47982560997619,0.494020012417847
397,282121,DUC,4,0.6353821460206457,0,1,0.732449110907632,-1.47982560997619,0.494020012417847
404,282121,DUC,4,0.6391369057399451,1,1,0.732449110907632,-1.47982560997619,0.494020012417847
411,282121,DUC,4,0.5909408655263606,2,1,0.732449110907632,-1.47982560997619,0.494020012417847
219,310659,HIG,0,0.9020189838299298,0,8,-1.56563478200371,0.380280344311849,-1.61937541603383
224,310659,HIG,0,0.9131921096613164,1,8,-1.56563478200371,0.380280344311849,-1.61937541603383
229,310659,HIG,0,0.8952064461871037,2,8,-1.56563478200371,0.380280344311849,-1.61937541603383
220,310659,HIG,1,0.9258194328979011,0,8,-1.56563478200371,0.380280344311849,-1.61937541603383
225,310659,HIG,1,0.9351714247865184,1,8,-1.56563478200371,0.380280344311849,-1.61937541603383
230,452439,HIG,1,0.9348680159955353,2,6,-1.56563478200371,0.380280344311849,-1.61937541603383
