site,treatment,year,n,CHELSA_bio10_01,prec,hli,soil_Ph,soil_Ph2,soil_ZZ,soil_P,soil_TN,soil_susina,soil_Ca,soil_K,soil_Mg,PC1,PC2,PC3,temp
CVI,4,2,28,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,4,3,31,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
DUB,1,0,50,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,1,1,44,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,1,2,42,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,1,3,43,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,2,0,42,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,2,1,50,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,2,2,45,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,2,3,36,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,3,0,43,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,3,1,46,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,3,2,38,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,3,3,45,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,4,0,41,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,4,1,50,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,4,2,39,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUB,4,3,48,86,718,0.843426149,5.74,6.67,12.68,20.364,3549.125,96.94,2266.2,120.133015,249.4026131,0.319283074180462,0.720146647540336,0.365526263594649,71.8
DUC,1,0,23,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,1,1,29,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,1,2,29,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,0,0,17,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,0,1,15,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,0,2,17,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,2,0,28,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,2,1,36,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,2,2,36,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,3,0,48,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,3,1,53,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,3,2,65,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,4,0,36,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,4,1,55,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
DUC,4,2,68,75,880,0.670765093,4.05,5.18,6.13,17.324,2151.433,99.16,128.5,58.88372821,11.42365098,0.732449110907632,-1.47982560997619,0.494020012417847,88
HIG,1,0,13,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,1,1,18,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,1,2,19,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,1,3,26,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,0,0,15,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,0,1,23,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,0,2,23,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,2,0,12,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,2,1,14,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,2,2,22,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,2,3,28,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,3,0,15,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,3,1,19,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,3,2,24,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,3,3,27,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,4,0,14,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,4,1,21,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,4,2,26,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
HIG,4,3,29,103,475,0.660225677,8.06,8.61,5.11,30.252,2540.585,99.22,2913.7,81.92696743,528.9019826,-1.56563478200371,0.380280344311849,-1.61937541603383,47.5
ILI,1,0,14,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,1,1,19,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,1,2,19,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,1,3,17,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
ILI,0,0,13,84,781,0.590659612,5.65,6.45,1.54,27.133,2164.173,98.06,939.6,93.50553693,250.1399472,-0.37292593065102,-1.02453635884729,-1.03830953891901,78.1
